jobtitle,avg_totalpay
IS ENGINEER - ASSISTANT,91742
PHYSICIAN ASSISTANT,88400
PHYSICAL THERAPIST ASSISTANT,74959
NURSING ASSISTANT,69006
IS BUSINESS ANALYST - ASSISTANT,67120
SENIOR MANAGEMENT ASSISTANT,64320
RESEARCH ASSISTANT,62093
MANAGEMENT ASSISTANT,61600
IS TRAINER - ASSISTANT,60427
IS PROGRAMMER ANALYST - ASSISTANT,59881
CIVIL ENGINEERING ASSISTANT,58273
LEGAL ASSISTANT,57736
LEGISLATIVE ASSISTANT,52015
BACTERIOLOGICAL LABORATORY ASSISTANT,50943
DISTRICT ATTORNEY'S INVESTIGATIVE ASSISTANT,50855
ENVIRONMENTAL ASSISTANT,48031
LEGAL RESEARCH ASSISTANT,44544
MEDICAL EVALUATIONS ASSISTANT,44541
ARTS PROGRAM ASSISTANT,43178
PUBLIC RELATIONS ASSISTANT,42245
LIBRARY ASSISTANT,40830
COMMUNITY DEVELOPMENT ASSISTANT,40286
JUNIOR MANAGEMENT ASSISTANT,39230
NURSES STAFFING ASSISTANT,37454
IS TECHNICIAN - ASSISTANT,34767
CAMP ASSISTANT,3998
